,NAICS 1 Code,NAICS 1 Description
593,446110,Pharmacies and Drug Stores
594,446120,"Cosmetics, Beauty Supplies, and Perfume Stores"
595,446130,Optical Goods Stores
596,446191,Food (Health) Supplement Stores
597,446199,All Other Health and Personal Care Stores
598,447110,Gasoline Stations with Convenience Stores
599,447190,Other Gasoline Stations
600,448110,Men's Clothing Stores
601,448120,Women's Clothing Stores
602,448130,Children's and Infants' Clothing Stores
603,448140,Family Clothing Stores
604,448150,Clothing Accessories Stores
605,448190,Other Clothing Stores
606,448210,Shoe Stores
607,448310,Jewelry Stores
608,448320,Luggage and Leather Goods Stores
609,451110,Sporting Goods Stores
610,451120,"Hobby, Toy, and Game Stores"
611,451130,"Sewing, Needlework, and Piece Goods Stores"
612,451140,Musical Instrument and Supplies Stores
613,451211,Book Stores
614,451212,News Dealers and Newsstands
615,452210,Department Stores
616,452311,Warehouse Clubs and Supercenters
617,452319,All Other General Merchandise Stores
618,453110,Florists
619,453210,Office Supplies and Stationery Stores
620,453220,"Gift, Novelty, and Souvenir Stores"
621,453310,Used Merchandise Stores
622,453910,Pet and Pet Supplies Stores
623,453920,Art Dealers
624,453930,Manufactured (Mobile) Home Dealers
625,453991,Tobacco Stores
626,453998,All Other Miscellaneous Store Retailers (except Tobacco Stores)
627,454110,Electronic Shopping and Mail-Order Houses
628,454210,Vending Machine Operators
629,454310,Fuel Dealers
630,454390,Other Direct Selling Establishments
631,481111,Scheduled Passenger Air Transportation
632,481112,Scheduled Freight Air Transportation
633,481211,Nonscheduled Chartered Passenger Air Transportation
634,481212,Nonscheduled Chartered Freight Air Transportation
635,481219,Other Nonscheduled Air Transportation
636,482111,Line-Haul Railroads
637,482112,Short Line Railroads
638,483111,Deep Sea Freight Transportation
639,483112,Deep Sea Passenger Transportation
640,483113,Coastal and Great Lakes Freight Transportation
641,483211,Inland Water Freight Transportation
642,483212,Inland Water Passenger Transportation
643,484110,"General Freight Trucking, Local"
644,484121,"General Freight Trucking, Long-Distance, Truckload"
645,484122,"General Freight Trucking, Long-Distance, Less Than Truckload"
646,484210,Used Household and Office Goods Moving
647,484220,"Specialized Freight (except Used Goods) Trucking, Local"
648,484230,"Specialized Freight (except Used Goods) Trucking, Long-Distance"
649,485111,Mixed Mode Transit Systems
650,485112,Commuter Rail Systems
651,485113,Bus and Other Motor Vehicle Transit Systems
652,485119,Other Urban Transit Systems
653,485210,Interurban and Rural Bus Transportation
654,485310,Taxi Service
655,485320,Limousine Service
656,485410,School and Employee Bus Transportation
657,485510,Charter Bus Industry
658,485999,All Other Transit and Ground Passenger Transportation
659,486110,Pipeline Transportation of Crude Oil
660,486210,Pipeline Transportation of Natural Gas
661,486910,Pipeline Transportation of Refined Petroleum Products
662,486990,All Other Pipeline Transportation
663,487110,"Scenic and Sightseeing Transportation, Land"
664,487210,"Scenic and Sightseeing Transportation, Water"
665,487990,"Scenic and Sightseeing Transportation, Other"
666,488111,Air Traffic Control
667,488119,Other Airport Operations
668,488190,Other Support Activities for Air Transportation
669,488210,Support Activities for Rail Transportation
670,488310,Port and Harbor Operations
671,488320,Marine Cargo Handling
672,488330,Navigational Services to Shipping
673,488390,Other Support Activities for Water Transportation
674,488410,Motor Vehicle Towing
675,488490,Other Support Activities for Road Transportation
676,488510,Freight Transportation Arrangement
677,488991,Packing and Crating
678,488999,All Other Support Activities for Transportation
679,491110,Postal Service
680,492110,Couriers and Express Delivery Services
681,492210,Local Messengers and Local Delivery
682,493110,General Warehousing and Storage
683,493120,Refrigerated Warehousing and Storage
684,493130,Farm Product Warehousing and Storage
685,493190,Other Warehousing and Storage
686,511110,Newspaper Publishers
687,511120,Periodical Publishers
688,511130,Book Publishers
689,511140,Directory and Mailing List Publishers
690,511191,Greeting Card Publishers
691,511199,All Other Publishers
692,511210,Software Publishers
693,512110,Motion Picture and Video Production
694,512120,Motion Picture and Video Distribution
695,512131,Motion Picture Theaters (except Drive-Ins)
696,512132,Drive-In Motion Picture Theaters
697,512191,Teleproduction and Other Postproduction Services
698,512199,Other Motion Picture and Video Industries
699,512230,Music Publishers
700,512240,Sound Recording Studios
701,512250,Record Production and Distribution
702,512290,Other Sound Recording Industries
703,515111,Radio Networks
704,515112,Radio Stations
705,515120,Television Broadcasting
706,515210,Cable and Other Subscription Programming
707,517311,Wired Telecommunications Carriers
708,517312,Wireless Telecommunications Carriers (except Satellite)
709,517410,Satellite Telecommunications
710,517911,Telecommunications Resellers
711,517919,All Other Telecommunications
712,518210,"Data Processing, Hosting, and Related Services"
713,519110,News Syndicates
714,519120,Libraries and Archives
715,519130,Internet Publishing and Broadcasting and Web Search Portals
716,519190,All Other Information Services
717,521110,Monetary Authorities-Central Bank
718,522110,Commercial Banking
719,522120,Savings Institutions
720,522130,Credit Unions
721,522210,Credit Card Issuing
722,522220,Sales Financing
723,522291,Consumer Lending
724,522292,Real Estate Credit
725,522293,International Trade Financing
726,522294,Secondary Market Financing
727,522298,All Other Nondepository Credit Intermediation
728,522310,Mortgage and Nonmortgage Loan Brokers
729,522320,"Financial Transactions Processing, Reserve, and Clearinghouse Activities"
730,522390,Other Activities Related to Credit Intermediation
731,523110,Investment Banking and Securities Dealing
732,523120,Securities Brokerage
733,523130,Commodity Contracts Dealing
734,523140,Commodity Contracts Brokerage
735,523210,Securities and Commodity Exchanges
736,523910,Miscellaneous Intermediation
737,523920,Portfolio Management
738,523930,Investment Advice
739,523991,"Trust, Fiduciary, and Custody Activities"
740,523999,Miscellaneous Financial Investment Activities
741,524113,Direct Life Insurance Carriers
742,524114,Direct Health and Medical Insurance Carriers
743,524126,Direct Property and Casualty Insurance Carriers
744,524127,Direct Title Insurance Carriers
745,524128,"Other Direct Insurance (except Life, Health, and Medical) Carriers"
746,524130,Reinsurance Carriers
747,524210,Insurance Agencies and Brokerages
748,524291,Claims Adjusting
749,524292,Third Party Administration of Insurance and Pension Funds
750,524298,All Other Insurance Related Activities
751,525110,Pension Funds
752,525120,Health and Welfare Funds
753,525190,Other Insurance Funds
754,525910,Open-End Investment Funds
755,525920,"Trusts, Estates, and Agency Accounts"
756,525990,Other Financial Vehicles
757,531110,Lessors of Residential Buildings and Dwellings
758,531120,Lessors of Nonresidential Buildings (except Miniwarehouses)
759,531130,Lessors of Miniwarehouses and Self-Storage Units
760,531190,Lessors of Other Real Estate Property
761,531210,Offices of Real Estate Agents and Brokers
762,531311,Residential Property Managers
763,531312,Nonresidential Property Managers
764,531320,Offices of Real Estate Appraisers
765,531390,Other Activities Related to Real Estate
766,532111,Passenger Car Rental
767,532112,Passenger Car Leasing
768,532120,"Truck, Utility Trailer, and RV (Recreational Vehicle) Rental and Leasing"
769,532210,Consumer Electronics and Appliances Rental
770,532281,Formal Wear and Costume Rental
771,532282,Video Tape and Disc Rental
772,532283,Home Health Equipment Rental
773,532284,Recreational Goods Rental
774,532289,All Other Consumer Goods Rental
775,532310,General Rental Centers
776,532411,"Commercial Air, Rail, and Water Transportation Equipment Rental and Leasing"
777,532412,"Construction, Mining, and Forestry Machinery and Equipment Rental and Leasing"
778,532420,Office Machinery and Equipment Rental and Leasing
779,532490,Other Commercial and Industrial Machinery and Equipment Rental and Leasing
780,533110,Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)
781,541110,Offices of Lawyers
782,541120,Offices of Notaries
783,541191,Title Abstract and Settlement Offices
784,541199,All Other Legal Services
785,541211,Offices of Certified Public Accountants
786,541213,Tax Preparation Services
787,541214,Payroll Services
788,541219,Other Accounting Services
789,541310,Architectural Services
790,541320,Landscape Architectural Services
791,541330,Engineering Services
792,541340,Drafting Services
793,541350,Building Inspection Services
794,541370,Surveying and Mapping (except Geophysical) Services
795,541380,Testing Laboratories
796,541410,Interior Design Services
797,541420,Industrial Design Services
798,541430,Graphic Design Services
799,541490,Other Specialized Design Services
800,541511,Custom Computer Programming Services
801,541512,Computer Systems Design Services
802,541513,Computer Facilities Management Services
803,541519,Other Computer Related Services
804,541611,Administrative Management and General Management Consulting Services
805,541612,Human Resources Consulting Services
806,541613,Marketing Consulting Services
807,541614,"Process, Physical Distribution, and Logistics Consulting Services"
808,541618,Other Management Consulting Services
809,541620,Environmental Consulting Services
810,541690,Other Scientific and Technical Consulting Services
811,541714,Research and Development in Biotechnology (except Nanobiotechnology)
812,541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)"
813,541720,Research and Development in the Social Sciences and Humanities
814,541810,Advertising Agencies
815,541820,Public Relations Agencies
816,541830,Media Buying Agencies
817,541840,Media Representatives
818,541850,Outdoor Advertising
819,541860,Direct Mail Advertising
820,541870,Advertising Material Distribution Services
821,541890,Other Services Related to Advertising
822,541910,Marketing Research and Public Opinion Polling
823,541921,"Photography Studios, Portrait"
824,541922,Commercial Photography
825,541930,Translation and Interpretation Services
826,541940,Veterinary Services
827,541990,"All Other Professional, Scientific, and Technical Services"
828,551111,Offices of Bank Holding Companies
829,551112,Offices of Other Holding Companies
830,561110,Office Administrative Services
831,561210,Facilities Support Services
832,561311,Employment Placement Agencies
833,561312,Executive Search Services
834,561320,Temporary Help Services
835,561330,Professional Employer Organizations
836,561410,Document Preparation Services
837,561421,Telephone Answering Services
838,561422,Telemarketing Bureaus and Other Contact Centers
839,561431,Private Mail Centers
840,561439,Other Business Service Centers (including Copy Shops)
841,561440,Collection Agencies
842,561450,Credit Bureaus
843,561491,Repossession Services
844,561492,Court Reporting and Stenotype Services
845,561499,All Other Business Support Services
846,561510,Travel Agencies
847,561520,Tour Operators
848,561591,Convention and Visitors Bureaus
849,561599,All Other Travel Arrangement and Reservation Services
850,561611,Investigation Services
851,561612,Security Guards and Patrol Services
852,561613,Armored Car Services
853,561621,Security Systems Services (except Locksmiths)
854,561622,Locksmiths
855,561710,Exterminating and Pest Control Services
856,561720,Janitorial Services
857,561730,Landscaping Services
858,561740,Carpet and Upholstery Cleaning Services
859,561790,Other Services to Buildings and Dwellings
860,561910,Packaging and Labeling Services
861,561920,Convention and Trade Show Organizers
862,561990,All Other Support Services
863,562111,Solid Waste Collection
864,562112,Hazardous Waste Collection
865,562119,Other Waste Collection
866,562211,Hazardous Waste Treatment and Disposal
867,562212,Solid Waste Landfill
868,562213,Solid Waste Combustors and Incinerators
869,562219,Other Nonhazardous Waste Treatment and Disposal
870,562910,Remediation Services
871,562920,Materials Recovery Facilities
872,562991,Septic Tank and Related Services
873,562998,All Other Miscellaneous Waste Management Services
874,611110,Elementary and Secondary Schools
875,611210,Junior Colleges
876,611310,"Colleges, Universities, and Professional Schools"
877,611410,Business and Secretarial Schools
878,611420,Computer Training
879,611430,Professional and Management Development Training
880,611511,Cosmetology and Barber Schools
881,611512,Flight Training
882,611513,Apprenticeship Training
883,611519,Other Technical and Trade Schools
884,611610,Fine Arts Schools
885,611620,Sports and Recreation Instruction
886,611630,Language Schools
887,611691,Exam Preparation and Tutoring
888,611692,Automobile Driving Schools
889,611699,All Other Miscellaneous Schools and Instruction
890,611710,Educational Support Services
891,621111,Offices of Physicians (except Mental Health Specialists)
892,621112,"Offices of Physicians, Mental Health Specialists"
893,621210,Offices of Dentists
894,621310,Offices of Chiropractors
895,621320,Offices of Optometrists
896,621330,Offices of Mental Health Practitioners (except Physicians)
897,621340,"Offices of Physical, Occupational and Speech Therapists, and Audiologists"
898,621391,Offices of Podiatrists
899,621399,Offices of All Other Miscellaneous Health Practitioners
900,621410,Family Planning Centers
901,621420,Outpatient Mental Health and Substance Abuse Centers
902,621491,HMO Medical Centers
903,621492,Kidney Dialysis Centers
904,621493,Freestanding Ambulatory Surgical and Emergency Centers
905,621498,All Other Outpatient Care Centers
906,621511,Medical Laboratories
907,621512,Diagnostic Imaging Centers
908,621610,Home Health Care Services
909,621910,Ambulance Services
910,621991,Blood and Organ Banks
911,621999,All Other Miscellaneous Ambulatory Health Care Services
912,622110,General Medical and Surgical Hospitals
913,622210,Psychiatric and Substance Abuse Hospitals
914,622310,Specialty (except Psychiatric and Substance Abuse) Hospitals
915,623110,Nursing Care Facilities (Skilled Nursing Facilities)
916,623210,Residential Intellectual and Developmental Disability Facilities
917,623220,Residential Mental Health and Substance Abuse Facilities
918,623311,Continuing Care Retirement Communities
919,623312,Assisted Living Facilities for the Elderly
920,623990,Other Residential Care Facilities
921,624110,Child and Youth Services
922,624120,Services for the Elderly and Persons with Disabilities
923,624190,Other Individual and Family Services
924,624210,Community Food Services
925,624221,Temporary Shelters
926,624229,Other Community Housing Services
927,624230,Emergency and Other Relief Services
928,624310,Vocational Rehabilitation Services
929,624410,Child Day Care Services
930,711110,Theater Companies and Dinner Theaters
931,711120,Dance Companies
932,711130,Musical Groups and Artists
933,711190,Other Performing Arts Companies
934,711211,Sports Teams and Clubs
935,711212,Racetracks
936,711219,Other Spectator Sports
937,711310,"Promoters of Performing Arts, Sports, and Similar Events with Facilities"
938,711320,"Promoters of Performing Arts, Sports, and Similar Events without Facilities"
939,711410,"Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures"
940,711510,"Independent Artists, Writers, and Performers"
941,712110,Museums
942,712120,Historical Sites
943,712130,Zoos and Botanical Gardens
944,712190,Nature Parks and Other Similar Institutions
945,713110,Amusement and Theme Parks
946,713120,Amusement Arcades
947,713210,Casinos (except Casino Hotels)
948,713290,Other Gambling Industries
949,713910,Golf Courses and Country Clubs
950,713920,Skiing Facilities
951,713930,Marinas
952,713940,Fitness and Recreational Sports Centers
953,713950,Bowling Centers
954,713990,All Other Amusement and Recreation Industries
955,721110,Hotels (except Casino Hotels) and Motels
956,721120,Casino Hotels
957,721191,Bed-and-Breakfast Inns
958,721199,All Other Traveler Accommodation
959,721211,RV (Recreational Vehicle) Parks and Campgrounds
960,721214,Recreational and Vacation Camps (except Campgrounds)
961,721310,"Rooming and Boarding Houses, Dormitories, and Workers' Camps"
962,722310,Food Service Contractors
963,722320,Caterers
964,722330,Mobile Food Services
965,722410,Drinking Places (Alcoholic Beverages)
966,722511,Full-Service Restaurants
967,722513,Limited-Service Restaurants
968,722514,"Cafeterias, Grill Buffets, and Buffets"
969,722515,Snack and Nonalcoholic Beverage Bars
970,811111,General Automotive Repair
971,811112,Automotive Exhaust System Repair
972,811113,Automotive Transmission Repair
973,811118,Other Automotive Mechanical and Electrical Repair and Maintenance
974,811121,"Automotive Body, Paint, and Interior Repair and Maintenance"
975,811122,Automotive Glass Replacement Shops
976,811191,Automotive Oil Change and Lubrication Shops
977,811192,Car Washes
978,811198,All Other Automotive Repair and Maintenance
979,811211,Consumer Electronics Repair and Maintenance
980,811212,Computer and Office Machine Repair and Maintenance
981,811213,Communication Equipment Repair and Maintenance
982,811219,Other Electronic and Precision Equipment Repair and Maintenance
983,811310,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance
984,811411,Home and Garden Equipment Repair and Maintenance
985,811412,Appliance Repair and Maintenance
986,811420,Reupholstery and Furniture Repair
987,811430,Footwear and Leather Goods Repair
988,811490,Other Personal and Household Goods Repair and Maintenance
989,812111,Barber Shops
990,812112,Beauty Salons
991,812113,Nail Salons
992,812191,Diet and Weight Reducing Centers
993,812199,Other Personal Care Services
994,812210,Funeral Homes and Funeral Services
995,812220,Cemeteries and Crematories
996,812310,Coin-Operated Laundries and Drycleaners
997,812320,Drycleaning and Laundry Services (except Coin-Operated)
998,812331,Linen Supply
999,812332,Industrial Launderers
1000,812910,Pet Care (except Veterinary) Services
1001,812921,Photofinishing Laboratories (except One-Hour)
1002,812930,Parking Lots and Garages
1003,812990,All Other Personal Services
1004,813110,Religious Organizations
1005,813211,Grantmaking Foundations
1006,813212,Voluntary Health Organizations
1007,813219,Other Grantmaking and Giving Services
1008,813312,"Environment, Conservation and Wildlife Organizations"
1009,813319,Other Social Advocacy Organizations
1010,813410,Civic and Social Organizations
1011,813910,Business Associations
1012,813920,Professional Organizations
1013,813930,Labor Unions and Similar Labor Organizations
1014,813940,Political Organizations
1015,813990,"Other Similar Organizations (except Business, Professional, Labor, and Political Organizations)"
1016,921110,Executive Offices
1017,921120,Legislative Bodies
1018,921130,Public Finance Activities
1019,921140,"Executive and Legislative Offices, Combined"
1020,921150,American Indian and Alaska Native Tribal Governments
1021,921190,Other General Government Support
1022,922110,Courts
1023,922120,Police Protection
1024,922130,Legal Counsel and Prosecution
1025,922140,Correctional Institutions
1026,922150,Parole Offices and Probation Offices
1027,922160,Fire Protection
1028,922190,"Other Justice, Public Order, and Safety Activities"
1029,923110,Administration of Education Programs
1030,923120,Administration of Public Health Programs
1031,923130,"Administration of Human Resource Programs (except Education, Public Health, and Veterans' Affairs Programs)"
1032,923140,Administration of Veterans' Affairs
1033,924110,Administration of Air and Water Resource and Solid Waste Management Programs
1034,924120,Administration of Conservation Programs
1035,925110,Administration of Housing Programs
1036,925120,Administration of Urban Planning and Community and Rural Development
1037,926110,Administration of General Economic Programs
1038,926120,Regulation and Administration of Transportation Programs
1039,926130,"Regulation and Administration of Communications, Electric, Gas, and Other Utilities"
1040,926140,Regulation of Agricultural Marketing and Commodities
1041,926150,"Regulation, Licensing, and Inspection of Miscellaneous Commercial Sectors"
1042,927110,Space Research and Technology
1043,928110,National Security
1044,928120,International Affairs
